,Country Name,Depression Rate,GBL Consumption,Dairy Consumption,Fruits Consumption,Meat Consumption,Vegetables Consumption,Confections Consumption,Caffeine Consumption,Alcohol Consumption,total,GBL_percentage,Dairy_percentage,Fruits_percentage,Meat_percentage,Vegetables_percentage,Confections_percentage,Caffeine_percentage,Alcohol_percentage,average,Country Code,average_GDP_capita
10,Bulgaria,0.03298666359642753,0.0006822067407689195,0.00017021084400737225,7.610371891642007e-05,8.191794515903789e-05,0.00010284664265140462,6.288991794571837e-05,3.985220007566324e-06,9.24990538598289e-05,9101.3325,0.536047880900956,0.13374415229857825,0.05979893603491576,0.06436749783616848,0.08081234258829682,0.049416115717121636,0.0031314096040332556,0.07268166501992977,7151424.5,BGR,7703.934718360263
11,Canada,0.039401204879222655,0.0011595545326077456,0.0002468128680203969,8.733378406875582e-05,0.00014303386397033612,0.00019370185440890713,0.0001505303962634493,6.530213667826223e-06,0.00010691051620393241,75290.3825,0.5536430898063242,0.1178437365489543,0.041698552932706905,0.06829321792859798,0.09248525201741403,0.07187252634823578,0.0031179281098751223,0.051045696307891644,35948287.75,CAN,45487.49904549977
12,Chile,0.039865086315719576,0.00036700456341600345,0.00011536046956475792,0.00018198310875790915,0.00014229830620916782,0.00014169740425409028,0.0001858281354945935,1.850628866476423e-06,7.029627559973876e-05,21836.73,0.30423511212530446,0.09563016074293175,0.15085820999755917,0.11796077068315632,0.11746264207140905,0.15404561488830976,0.0015341124792952058,0.05827337701203431,18101954.75,CHL,14249.533279334251
13,China,0.04050575531857723,0.0005655572624555726,2.8279717482797175e-05,0.00010020452500204525,0.00012843037696230375,0.0005307225641072256,0.00012403368390433685,1.274963412749634e-06,4.855114488551145e-05,2099909.5475,0.37035833325578044,0.018519131000808025,0.06561949307009378,0.08410334993250465,0.34754663641053807,0.08122415091786234,0.0008349169144391445,0.03179398849797363,1375137500.0,CHN,8193.229623353061
14,Colombia,0.022288708442642035,0.00042722036396884505,0.0001452499126117624,0.00019903090339875974,8.565819452938803e-05,0.000188549273824821,0.0008580496866303343,1.0961863598242689e-06,4.937536560751314e-05,93594.55,0.2186131564284459,0.0743259089338001,0.10184620792556831,0.04383219963128196,0.09648264776100744,0.4390730550016,0.0005609300968913254,0.025265894221404985,47893316.25,COL,6634.426155830461
15,Costa Rica,0.027530900962416366,0.000574682599701557,0.000200743886148205,0.00015426446860405122,8.253533833707007e-05,7.561883163364534e-05,0.000983318762771259,6.002308888152309e-06,2.4368348050190998e-05,10241.04,0.27345855499050875,0.09552252505604898,0.07340563067813424,0.039273843281541716,0.03598267363470897,0.46790511510549715,0.0028561552342340228,0.011595502019326161,4873124.75,CRI,11331.842470299776
16,Croatia,0.03590977794545122,0.000631926423430845,0.00024401355891057771,9.163201942933323e-05,0.00010412778353912607,0.00022734776137421268,0.00041300474592931925,3.8827126876836116e-06,0.00010292175324429018,7612.3125,0.3474305606870448,0.13415765577148864,0.050378909168534526,0.05724902912222797,0.12499486851071866,0.22706831859569612,0.002134699541039599,0.05658595860324967,4185218.25,HRV,12798.563337146501
17,Cyprus,0.03802172540242759,0.0005294718984237435,0.00017198722662448049,3.7742832775447084e-05,0.00012821197404236677,0.0001258809252226559,8.453107854219165e-05,3.4311666159497353e-06,6.176099908709523e-05,1332.5124999999998,0.4632226714571159,0.15046763163572577,0.03302032813951089,0.11216967945891691,0.11013029896530052,0.07395427810245682,0.0030018480126828085,0.05403326422829055,1165784.25,CYP,25333.6386088708
18,Denmark,0.03590907075125675,0.0015881718924162316,0.0005610442232383702,6.450496732069679e-05,0.00014224353184328026,0.0003982042378010677,0.0005689083954091395,8.2384061523716e-06,0.00011871192695092907,19682.3625,0.46033599879079556,0.16262021390978854,0.01869694250372637,0.04122967961798285,0.11542059546967495,0.16489966588106486,0.0023879247219433138,0.0344089791050236,5704987.0,DNK,57019.484413853876
19,Dominica,0.0269402213208646,7.016731396013795e-05,0.0001333178965242621,0.000789382282051552,0.0001551750148228451,0.0006104556314532001,0.0001543680907123035,3.5083656980068974e-06,2.455855988604828e-05,138.3075,0.03615132946514108,0.06868752598376805,0.40670245648283715,0.0799486651121595,0.31451656634672737,0.07953292482331037,0.001807566473257054,0.012652965312799377,71258.25,DMA,7567.55720047577
